community,nodes,edges,density,avg_clustering,avg_degree
184,1,1,0.0,0.0,2.0
185,2,2,2.0,0.0,2.0
186,2,1,1.0,0.0,1.0
187,2,1,1.0,0.0,1.0
188,1,1,0.0,0.0,2.0
189,1,1,0.0,0.0,2.0
190,3,2,0.6666666666666666,0.0,1.3333333333333333
191,5,4,0.4,0.0,1.6
192,3,2,0.6666666666666666,0.0,1.3333333333333333
193,1,1,0.0,0.0,2.0
194,1,1,0.0,0.0,2.0
195,3,3,1.0,0.0,2.0
196,2,2,2.0,0.0,2.0
197,2,1,1.0,0.0,1.0
198,2,1,1.0,0.0,1.0
199,1,1,0.0,0.0,2.0
200,1,1,0.0,0.0,2.0
201,1,1,0.0,0.0,2.0
202,2,2,2.0,0.0,2.0
203,8,10,0.35714285714285715,0.0,2.5
204,2,2,2.0,0.0,2.0
205,3,3,1.0,0.0,2.0
206,1,1,0.0,0.0,2.0
207,4,5,0.8333333333333334,0.0,2.5
208,1,1,0.0,0.0,2.0
209,2,1,1.0,0.0,1.0
210,2,1,1.0,0.0,1.0
211,1,1,0.0,0.0,2.0
212,1,1,0.0,0.0,2.0
213,1,1,0.0,0.0,2.0
214,2,2,2.0,0.0,2.0
215,5,5,0.5,0.0,2.0
216,1,1,0.0,0.0,2.0
217,2,1,1.0,0.0,1.0
218,3,2,0.6666666666666666,0.0,1.3333333333333333
219,2,1,1.0,0.0,1.0
220,2,2,2.0,0.0,2.0
221,2,2,2.0,0.0,2.0
222,1,1,0.0,0.0,2.0
223,1,1,0.0,0.0,2.0
224,2,2,2.0,0.0,2.0
225,1,1,0.0,0.0,2.0
226,293,416,0.00972462480714386,0.0006783049098736335,2.839590443686007
227,1,1,0.0,0.0,2.0
228,2,1,1.0,0.0,1.0
229,1,1,0.0,0.0,2.0
230,2,2,2.0,0.0,2.0
231,1,1,0.0,0.0,2.0
232,2,2,2.0,0.0,2.0
233,2,1,1.0,0.0,1.0
234,3,2,0.6666666666666666,0.0,1.3333333333333333
235,2,1,1.0,0.0,1.0
236,3,4,1.3333333333333333,0.0,2.6666666666666665
237,1,1,0.0,0.0,2.0
238,1,1,0.0,0.0,2.0
239,1,1,0.0,0.0,2.0
240,1,1,0.0,0.0,2.0
241,1,1,0.0,0.0,2.0
242,1,1,0.0,0.0,2.0
243,2,2,2.0,0.0,2.0
244,1,1,0.0,0.0,2.0
245,1,1,0.0,0.0,2.0
246,1,1,0.0,0.0,2.0
247,1,1,0.0,0.0,2.0
248,2,2,2.0,0.0,2.0
249,2,2,2.0,0.0,2.0
250,1,1,0.0,0.0,2.0
251,3,3,1.0,0.0,2.0
252,1,1,0.0,0.0,2.0
253,1,1,0.0,0.0,2.0
254,1,1,0.0,0.0,2.0
255,4,4,0.6666666666666666,0.0,2.0
256,1,1,0.0,0.0,2.0
257,1,1,0.0,0.0,2.0
258,1,1,0.0,0.0,2.0
259,1,1,0.0,0.0,2.0
260,3,2,0.6666666666666666,0.0,1.3333333333333333
261,1,1,0.0,0.0,2.0
