node,degree_centrality,betweenness_centrality,community
7,0.00029838022165387895,1.2686768971521411e-05,0
6,0.01815856777493606,0.017399977042051554,0
19,0.011295822676896845,0.006239255546193455,3
4,0.02178175618073316,0.02075386254825162,0
21,0.00017050298380221653,3.836644201250503e-05,0
20,4.262574595055413e-05,0.0,0
4436,0.00042625745950554135,0.0010371005292679988,0
23,0.0005115089514066496,1.772783994014927e-05,0
24,0.00196078431372549,0.00010191013947963314,0
26,0.006180733162830349,0.0025661385312777383,0
1465,0.0007246376811594203,0.000862654289022818,0
25,0.0001278772378516624,4.0807601402248894e-05,0
29,8.525149190110827e-05,7.629079764691233e-06,0
17,0.02753623188405797,0.06626600040667828,0
27,0.005072463768115942,0.0031271843934814855,0
11665,0.0001278772378516624,2.118194658618368e-06,0
28,4.262574595055413e-05,0.0,0
42850,0.00021312872975277067,3.836644201250503e-05,0
3,0.006052855924978687,0.0026138484433046428,0
31,4.262574595055413e-05,0.0,0
32,0.00029838022165387895,0.00011509932603751509,0
34,4.262574595055413e-05,0.0,0
33,4.262574595055413e-05,0.0,0
29519,0.0002557544757033248,2.368652032747637e-05,0
36,0.0002557544757033248,0.0,0
37,0.036359761295822676,0.06899923162738729,3
22,0.018499573742540493,0.015534769598947604,1
17286,8.525149190110827e-05,2.970558951603052e-05,0
40,8.525149190110827e-05,3.322584030494717e-06,67
42,0.00042625745950554135,0.00014097591055075515,67
41,0.00017050298380221653,6.412789884077948e-05,67
39,8.525149190110827e-05,5.510719213090407e-06,67
47,4.262574595055413e-05,0.0,2
48,0.0001278772378516624,0.0,2
52,0.025532821824381925,0.026723522823451838,20
53,0.0001278772378516624,0.0,20
11613,8.525149190110827e-05,0.0,0
68,0.019778346121057118,0.02446031534989091,3
32534,0.0002557544757033248,1.1480258373410153e-06,0
69,0.007331628303495311,0.005884891412145567,497
16,0.022208013640238704,0.04894409260965842,0
70,8.525149190110827e-05,0.0,4
4024,0.0005967604433077579,0.0008901751427609743,11
74,0.00046888320545609546,0.000899675937409026,0
78,4.262574595055413e-05,0.0,0
75,0.002131287297527707,0.0008387706978556668,0
77,4.262574595055413e-05,0.0,0
73,0.026214833759590793,0.02629986404381028,0
76,0.005626598465473145,0.002574736121601652,3
96,0.00042625745950554135,0.0005363078128884966,12
97,4.262574595055413e-05,0.0,12
106,4.262574595055413e-05,0.0,20
27397,0.0001278772378516624,7.673288402501007e-05,20
105,4.262574595055413e-05,0.0,20
112,0.0003836317135549872,0.00012369247226623765,497
113,0.04258312020460358,0.05802708335442554,497
115,0.0007672634271099744,8.77793591945385e-05,574
114,0.00042625745950554135,0.00011519352492897135,11
